"id","SFirstName","SLastName","espnID","backgroundPicture","youtube1","youtube2","twitter","picture1","picture2"
"1","Stephen","Curry","3975","stephen-curry.jpg","bUkH3AG00B8","MsrRHmJHSrE","https://twitter.com/StephenCurry30","https://usatthebiglead.files.wordpress.com/2017/10/stephen-curry-china.jpg?w=1000&h=600&crop=1","https://pmcfootwearnews.files.wordpress.com/2017/04/stephen-curry-golden-state-warriors.jpg"
"2","James","Harden","3992","James_Harden4.jpg","Kk8TVGTXl3w","RYZfqV6JCmU","https://twitter.com/JHarden13",,
"3","Kevin","Durant","3202","kevinD.jpg","DeDK_Xj07Qg","jf8dllB4qPg","https://twitter.com/KDTrey5",,
"4","DeMarcus","Cousins","4258","demarcuscousins.jpg","aIgCMM4WnG8","oFmqBjg2kvE","https://twitter.com/boogiecousins",,
"5","Damian","Lillard","6606","lillard_drive.jpg","-6UgzSmw6M4","544_R2QtsP0","https://twitter.com/Dame_Lillard",,
"6","LeBron","James","1966","lebronsamplebg.png","mE295ggKbHU","7vlSdLatXow","https://twitter.com/KingJames",,
"7","Anthony","Davis","6583","anthonydavis.jpg","7kI_AtBdOuI","yFKcK1EUSU0","https://twitter.com/antdavis23",,
"8","Russell","Westbrook","3468","russell-westbrook.jpg","xgEa5tsdwYc","Dtb10PeLF2s","https://twitter.com/russwest44",,
"9","DeMar","DeRozan","3978","derozan.jpg","yigF_GGldC0","l5GCYTH3UWs","https://twitter.com/demar_derozan",,
"10","Paul","George","4251","paul-george.jpg","nxFPEpWKcdE","bnx5DP2eIig","https://twitter.com/Yg_Trece",,
"11","Blake","Griffin","3989","Blake_Griffin.jpg","OZ9o7owSUcQ","vxYBsUdosGo","https://twitter.com/blakegriffin23",,
"12","Klay","Thompson","6475","klay-thompson-shoots.jpg","LWc1OU3sfds","5oqTylf5NB4","https://twitter.com/KlayThompson",,
"13","Isaiah","Thomas","6472","legends-isiah-thomas.jpg","W4K7nKW6sDg","a2kJpH3PR0M","https://twitter.com/isaiahthomas",,
"14","Carmelo","Anthony","1975","carmelo-anthony.jpg","a5LMozhAeUg","l-tjrRdS0KI","https://twitter.com/carmeloanthony",,
"15","Kyle","Lowry","3012","lowry.jpg","I4fCTDzRIZI","5vpeliNGvbY","https://twitter.com/Klow7",,
"16","Jimmy","Butler","6430","jimmy-butler-dribble-0402.jpg","5ldILlgRte8","UCJ3UbH5bNg","https://twitter.com/jimmybutler",,
"17","Kemba","Walker","6479","kemba-walker.jpg","FHjKEUyNwyU","xYJSYkGp_Tg","https://twitter.com/KembaWalker",,
"18","Kawhi","Leonard","6450","kawhi.jpg","hIT8ZEDY_GM","rhqrWsH9B7E","https://twitter.com/kawhileonard",,
"19","Brook","Lopez","3448","brooklopez.jpg","f1Ng9QblAJc","9M6joeEaRkQ","https://twitter.com/realbrooklopez",,
"20","C.J.","McCollum","2490149","cj-mccollum.jpg","mLCCRk8_b70","kuU7Bfn1TYk","https://twitter.com/CJMcCollum",,
"21","Andrew","Wiggins","3059319","wiggins.jpg","M5lGZdBO2tU","zEd2zkAUP_E","https://twitter.com/22wiggins",,
"22","Eric","Bledsoe","4238","eric-bledsoe.jpg","sA04gYw5UIg","jy09rR4zIMo","https://twitter.com/ebled2",,
"23","John","Wall","4237","johnwall.png","wKJWq7HDA08","zLeb8d6J71E","https://twitter.com/johnwall",,
"24","Chris","Paul","2779","cp3.jpg","4kR9CMMHoSw","1K6s5OOMl48","https://twitter.com/CP3",,
"25","Brandon","Knight","6448","knight.jpg","EWEkKKdcVD8","YzmaBC219YE","https://twitter.com/goodknight11",,
"26","Gordon","Hayward","4249","gordon-hayward-e.jpg","LinS8LS8TVE","didOjB9DobY","https://twitter.com/gordonhayward",,
"27","Danilo","Gallinari","3428","Danilo-Gallinari.jpg","KQMKpAuZEZ0","Jh9nxo_BSQ8","https://twitter.com/gallinari8888",,
"28","Kyrie","Irving","6442","kyrie-irving.jpg","HXeuuwjdUM4","zSUI60zRtBk","https://twitter.com/kyrieirving?lang=en",,
"29","Dwyane","Wade","1987","wade.jpg","RofLsQaq8M4","komeq9cJh7I","https://twitter.com/DwyaneWade",,
"30","Chris","Bosh","1977","chris-bosh.jpg","69Ly34eoG3w","rU-AoKGfg8c","https://twitter.com/chrisbosh",,
"31","Dirk","Nowitzki","609","dirk-nowitzki.jpg","Vc5r_eNTsow","BnIz-JyWEzs","https://twitter.com/swish41",,
"32","Reggie","Jackson","6443","reggie.jpg","ZeSP5MjPoJ0","8FqV7P4kK_c","https://twitter.com/reggie_jackson?lang=en",,
"33","Karl-Anthony","Towns","3136195","karl-anthony-towns.jpg","eKWSLvqFlIo","yOhalFOK_a4","https://twitter.com/KarlTowns",,
"34","Khris","Middleton","6609","khris-middleton.jpg","Kvl5KzeGYYE","PDqNggKQOSU","https://twitter.com/Khris22m",,
"35","LaMarcus","Aldridge","2983","lamarcus-aldridge.jpg","0BlH_Ltnrys","eczuEK6CUXU","https://twitter.com/aldridge_12",,
"36","Nikola","Vucevic","6478","vucevic.jpg","Lg90qA2fVQQ","KFvdCYfOmPQ","https://twitter.com/NikolaVucevic",,
"37","Jahlil","Okafor","3135048","jahlil-okafor2.jpg","HZt5u_Dq9lc","vh1d2VvvoI4","https://twitter.com/jahlilokafor?lang=en",,
"38","Bradley","Beal","6580","bradley-beal-dribble.jpg","gtK9aNqD6p0","1eqPjkM5bKU","https://twitter.com/RealDealBeal23",,
"39","Paul","Millsap","3015","paul-millsap-2.jpg","tfykPvO8nAY","WGf2AK-Qye8","https://twitter.com/paulmillsap4?lang=en",,
"40","Rudy","Gay","3005","Rudy-Gay.jpg","SKfRKW4FG_Y","HYJoQTl8wXs","https://twitter.com/RudyGay",,
"41","Ryan","Anderson","3412","ryan_121115.jpg","jUt2hNpZA6w","eSRcJ26vsPw","https://twitter.com/m12teranderson?lang=en",,
"42","Kobe","Bryant","110","kobebryant.jpg","tjRCk0JVzfc","1fjhIWJSxfw","https://twitter.com/kobebryant",,
"43","Derrick","Rose","3456","roseknicks2.jpg","6BgJKC1vAV4","TYjS8maSy5Q","https://twitter.com/drose",,
"44","Jrue","Holiday","3995","jrue.jpg","5qWr4u4ZmMg","xw1FzB95bx0","https://twitter.com/jrue_holiday11?lang=en",,
"45","Derrick","Favors","4257","sdut-derrick-favors.jpg","WawGfvVk-wQ","dOQF8fVETRs","https://twitter.com/dfavors14?lang=en",,
"46","Pau","Gasol","996","paugasol.jpg","ISYHoP_2Pfc","oaPmioFSqNw","https://twitter.com/paugasol",,
"47","Andre","Drummond","6585","drummond.jpg","8YuVwbx7b5M","bmRboGYuWZU","https://twitter.com/AndreDrummond",,
"48","Giannis","Antetokounmpo","3032977","20171021_GIANNIS.jpg","6kqJyuHgLMY","7kI_AtBdOuI","https://twitter.com/Giannis_An34",,
"49","Marc","Gasol","3206","marc-gasol.jpg","K5__q-dh0jQ","k4BvRPftUYs","https://twitter.com/MarcGasol",,
"50","J.J.","Redick","3024","jjredick.jpg","pvJDDfQzlLc","qSrMnNwcxi8","https://twitter.com/sixers?lang=en",,
